step,cfit_pf,cextra_pf,cstray_pf,ccable_pf,rreceiver_ohm,transimpedance_ohm,bandwidth_hz,peaking_db,unity_hz,phase_margin_deg,bandwidth_crossings,unity_crossings,passes
1,0.2,0.0,0.0,0.0,100000.0,99780482.4940571,8063.719008946155,0.0,595313.5489341987,88.87977497931439,1,1,True
2,0.5,0.0,0.0,0.0,100000.0,99780478.3583644,3189.717979668554,0.0,1459199.1264113248,89.00813407747546,1,1,True
3,1.0,0.0,0.0,0.0,100000.0,99780463.58719526,1592.353122328614,0.0,2826491.3989416827,88.28921745827091,1,1,True
4,5.0,0.0,0.0,0.0,100000.0,99779990.89556184,318.3110785407027,0.0,11259099.883481136,83.28593441994752,1,1,False
5,0.2,5.0,0.0,0.0,100000.0,99780482.50097036,8099.839599613633,0.0,447989.49222019897,88.71241444326444,1,1,True
6,0.5,5.0,0.0,0.0,100000.0,99780478.36527172,3191.9606636745407,0.0,1103316.2458550767,89.17758794515578,1,1,True
7,1.0,5.0,0.0,0.0,100000.0,99780463.59409282,1592.631471725365,0.0,2153750.406274025,88.6777859598464,1,1,True
8,5.0,5.0,0.0,0.0,100000.0,99779990.9023815,318.3132795786859,0.0,9015547.99652649,84.62585704187114,1,1,False
9,0.2,15.0,0.0,0.0,100000.0,99780482.51479661,8172.733156769326,0.0,299741.3120325729,88.29250162025909,1,1,True
10,0.5,15.0,0.0,0.0,100000.0,99780478.37908638,3196.4577576146103,0.0,741568.6010194845,89.30886390749163,1,1,True
11,1.0,15.0,0.0,0.0,100000.0,99780463.60788803,1593.1885319050107,0.0,1459115.6787228556,89.06854270281417,1,1,True
12,5.0,15.0,0.0,0.0,100000.0,99779990.91602086,318.3176817669548,0.0,6445902.652827563,86.15921860001168,1,1,False
13,0.2,35.0,0.0,0.0,100000.0,99780482.54244927,8322.395009101336,0.0,180467.0303986143,87.3547831516683,1,1,True
14,0.5,35.0,0.0,0.0,100000.0,99780478.40671562,3205.499032161548,0.0,447924.9251744767,89.31689771391177,1,1,True
15,1.0,35.0,0.0,0.0,100000.0,99780463.63547839,1594.3040992086492,0.0,886957.8702843931,89.3650014170754,1,1,True
16,5.0,35.0,0.0,0.0,100000.0,99779990.94329956,318.32648659272337,0.0,4105901.5038954513,87.55212261592061,1,1,False
17,0.2,85.0,0.0,0.0,100000.0,99780482.6115808,8715.80150773146,1.208418034878849e-10,90698.09478037838,84.92174202544186,1,1,True
18,0.5,85.0,0.0,0.0,100000.0,99780478.4757888,3228.379309352051,0.0,225139.27686711386,89.0385966358524,1,1,True
19,1.0,85.0,0.0,0.0,100000.0,99780463.70445421,1597.1014766015924,0.0,447908.53481097583,89.51844745903992,1,1,True
20,5.0,85.0,0.0,0.0,100000.0,99779991.01149614,318.3485012778755,0.0,2152362.1597877396,88.7096059792367,1,1,False
21,0.2,0.0,0.1,0.0,100000.0,99780481.50941049,5336.257341346979,0.0,887014.1989080898,89.1298789592542,1,1,True
22,0.5,0.0,0.1,0.0,100000.0,99780476.19196515,2656.380388191157,0.0,1739661.6958599535,88.87938373343565,1,1,True
23,1.0,0.0,0.1,0.0,100000.0,99780459.45121013,1447.4814818701964,0.0,3089577.838170094,88.13842960902934,1,1,True
24,5.0,0.0,0.1,0.0,100000.0,99779971.00316891,312.0678393335759,0.0,11425766.404686296,83.18566530703282,1,1,False
25,0.2,5.0,0.1,0.0,100000.0,99780481.51632163,5346.782143463781,0.0,668578.2685904123,89.1452412462474,1,1,True
26,0.5,5.0,0.1,0.0,100000.0,99780476.19887054,2657.6766625905525,0.0,1317454.3906360662,89.10075277961158,1,1,True
27,1.0,5.0,0.1,0.0,100000.0,99780459.45810579,1447.690181010098,0.0,2357781.765427369,88.56387883948037,1,1,True
28,5.0,5.0,0.1,0.0,100000.0,99779971.0099866,312.0699160918314,0.0,9157939.712772116,84.54058164904927,1,1,False
29,0.2,15.0,0.1,0.0,100000.0,99780481.53014408,5367.986023188389,0.0,447948.3363987057,89.04819430464937,1,1,True
30,0.5,15.0,0.1,0.0,100000.0,99780476.2126813,2660.273926562569,0.0,886984.3852828981,89.29782809500733,1,1,True
31,1.0,15.0,0.1,0.0,100000.0,99780459.47189707,1448.107802094499,0.0,1599821.5560842582,88.99588555689752,1,1,True
32,5.0,15.0,0.1,0.0,100000.0,99779971.02362205,312.07406971059993,0.0,6555791.092997358,86.09335277019926,1,1,False
33,0.2,35.0,0.1,0.0,100000.0,99780481.55778895,5410.538534150505,0.0,269902.4158852985,88.7004606942441,1,1,True
34,0.5,35.0,0.1,0.0,100000.0,99780476.24030279,2665.4873669830786,0.0,536415.5607648931,89.3895063375794,1,1,True
35,1.0,35.0,0.1,0.0,100000.0,99780459.49947964,1448.9439361824968,0.0,973716.4849391145,89.33163531938698,1,1,True
36,5.0,35.0,0.1,0.0,100000.0,99779971.05089287,312.0823773571876,0.0,4180039.0907951356,87.5081125489557,1,1,False
37,0.2,85.0,0.1,0.0,100000.0,99780481.626901,5520.103888319773,0.0,135471.33947090522,87.66029158679402,1,1,True
38,0.5,85.0,0.1,0.0,100000.0,99780476.30935645,2678.63197765816,0.0,269861.2780995641,89.26001973168627,1,1,True
39,1.0,85.0,0.1,0.0,100000.0,99780459.56843603,1451.0394835913132,0.0,492209.2793706795,89.5281728093475,1,1,True
40,5.0,85.0,0.1,0.0,100000.0,99779971.11907004,312.10314885997803,0.0,2193184.978521021,88.6857021895201,1,1,False
41,0.2,0.0,0.3,0.0,100000.0,99780478.3583644,3189.717979668554,0.0,1459199.1264113248,89.00813407747546,1,1,True
42,0.5,0.0,0.3,0.0,100000.0,99780470.67741458,1991.0512198175195,0.0,2289984.508087633,88.59032226181517,1,1,True
43,1.0,0.0,0.3,0.0,100000.0,99780449.9974896,1224.6238235094781,0.0,3606266.2147619724,87.83871334462236,1,1,True
44,5.0,0.0,0.3,0.0,100000.0,99779930.03668536,300.29375046662267,0.0,11753277.159438223,82.98893267668262,1,1,False
45,0.2,5.0,0.3,0.0,100000.0,99780478.36527172,3191.9606636745407,0.0,1103316.2458550767,89.17758794515578,1,1,True
46,0.5,5.0,0.3,0.0,100000.0,99780470.68431607,1991.6000371994992,0.0,1739614.7588231268,88.90034451433695,1,1,True
47,1.0,5.0,0.3,0.0,100000.0,99780450.00438139,1224.7512188227433,0.0,2759976.5278205047,88.33486910598134,1,1,True
48,5.0,5.0,0.3,0.0,100000.0,99779930.04349919,300.29560694805525,0.0,9439944.908736544,84.3711395519768,1,1,False
49,0.2,15.0,0.3,0.0,100000.0,99780478.37908638,3196.457757614607,0.0,741568.6010194845,89.30886390749163,1,1,True
50,0.5,15.0,0.3,0.0,100000.0,99780470.69811903,1992.698811988156,0.0,1174857.7541993961,89.20224927270698,1,1,True
51,1.0,15.0,0.3,0.0,100000.0,99780450.01816487,1225.00610909536,0.0,1878498.8699073251,88.8451911971884,1,1,True
52,5.0,15.0,0.3,0.0,100000.0,99779930.05712682,300.29931999639115,0.0,6772810.672176184,85.96368863134472,1,1,False
53,0.2,35.0,0.3,0.0,100000.0,99780478.40671562,3205.499032161548,0.0,447924.92517447576,89.31689771391177,1,1,True
54,0.5,35.0,0.3,0.0,100000.0,99780470.72572497,1994.900929132405,0.0,712394.84089764,89.4102062975918,1,1,True
55,1.0,35.0,0.3,0.0,100000.0,99780450.04573187,1225.5162884688536,0.0,1146203.3524138322,89.25389735383538,1,1,True
56,5.0,35.0,0.3,0.0,100000.0,99779930.08438206,300.3067464349563,0.0,4327880.1658949405,87.42004502819395,1,1,False
57,0.2,85.0,0.3,0.0,100000.0,99780478.4757888,3228.379309352051,0.0,225139.27686711386,89.0385966358524,1,1,True
58,0.5,85.0,0.3,0.0,100000.0,99780470.79473971,2000.3732422832597,0.0,359073.6952152209,89.4552257247392,1,1,True
59,1.0,85.0,0.3,0.0,100000.0,99780450.11464931,1226.79406665042,0.0,580542.0097368861,89.52475766782902,1,1,True
60,5.0,85.0,0.3,0.0,100000.0,99779930.15252022,300.32531452590194,0.0,2274782.292690303,88.6377376163133,1,1,False
61,0.2,0.0,1.0,0.0,100000.0,99780454.92130819,1326.7408194819432,0.0,3349657.8730390887,87.98793900505456,1,1,True
62,0.5,0.0,1.0,0.0,100000.0,99780438.96810336,1061.2470220940575,0.0,4110106.1155177485,87.54386331867926,1,1,True
63,1.0,0.0,1.0,0.0,100000.0,99780404.50111055,795.8721487071621,0.0,5316845.2021834245,86.83218162506029,1,1,False
64,5.0,0.0,1.0,0.0,100000.0,99779774.24624698,265.257672761511,0.0,12850318.850413226,82.32761192715247,1,1,False
65,0.2,5.0,1.0,0.0,100000.0,99780454.92820191,1326.9018816595658,0.0,2559853.036139699,88.44940595340609,1,1,True
66,0.5,5.0,1.0,0.0,100000.0,99780438.97499117,1061.3296752469428,0.0,3154649.935073204,88.10657156839511,1,1,True
67,1.0,5.0,1.0,0.0,100000.0,99780404.50798868,795.9067665069821,0.0,4109504.62320466,87.54702365531642,1,1,False
68,5.0,5.0,1.0,0.0,100000.0,99779774.25304715,265.25894402469424,0.0,10390424.865636168,83.79957582980461,1,1,False
69,0.2,15.0,1.0,0.0,100000.0,99780454.94198926,1327.2241514531345,0.0,1739522.0432961949,88.92129286054137,1,1,True
70,0.5,15.0,1.0,0.0,100000.0,99780438.98876688,1061.4950297221462,0.0,2153576.471684126,88.69114862148024,1,1,True
71,1.0,15.0,1.0,0.0,100000.0,99780404.52174489,795.9760132460389,0.0,2825900.160049134,88.30411459239559,1,1,False
72,5.0,15.0,1.0,0.0,100000.0,99779774.26664746,265.261486595988,0.0,7513742.396532868,85.51948741915572,1,1,False
73,0.2,35.0,1.0,0.0,100000.0,99780454.96956408,1327.8692731877625,0.0,1060172.7944935285,89.29413163060781,1,1,True
